2015-16,2016,2015,Jordan Adams,Memphis Grizzlies,Shooting Guard,1404600
2016-17,2017,2016,Jordan Adams,Memphis Grizzlies,Shooting Guard,1465080
1985-86,1986,1985,Michael Adams,Sacramento Kings,Point Guard,85000
1987-88,1988,1987,Michael Adams,Denver Nuggets,Point Guard,160000
1988-89,1989,1988,Michael Adams,Denver Nuggets,Point Guard,375000
1990-91,1991,1990,Michael Adams,Denver Nuggets,Point Guard,825000
1991-92,1992,1991,Michael Adams,Washington Bullets,Point Guard,1309000
1992-93,1993,1992,Michael Adams,Washington Bullets,Point Guard,1309000
1993-94,1994,1993,Michael Adams,Washington Bullets,Point Guard,1309000
1994-95,1995,1994,Michael Adams,Charlotte Hornets,Point Guard,1240000
2013-14,2014,2013,Steven Adams,Oklahoma City Thunder,Center,2090880
2014-15,2015,2014,Steven Adams,Oklahoma City Thunder,Center,2184960
2015-16,2016,2015,Steven Adams,Oklahoma City Thunder,Center,2279040
2016-17,2017,2016,Steven Adams,Oklahoma City Thunder,Center,3140517
2017-18,2018,2017,Steven Adams,Oklahoma City Thunder,Center,22471910
1991-92,1992,1991,Rafael Addison,New Jersey Nets,Small Forward,311000
1992-93,1993,1992,Rafael Addison,New Jersey Nets,Small Forward,522000
1994-95,1995,1994,Rafael Addison,Detroit Pistons,Small Forward,250000
1995-96,1996,1995,Rafael Addison,Charlotte Hornets,Small Forward,360000
1996-97,1997,1996,Rafael Addison,Charlotte Hornets,Small Forward,290000
2017-18,2018,2017,Bam Adebayo,Miami Heat,Center,2490360
2010-11,2011,2010,Jeff Adrien,Golden State Warriors,Power Forward,342666
2011-12,2012,2011,Jeff Adrien,Houston Rockets,Power Forward,270427
2012-13,2013,2012,Jeff Adrien,Charlotte Bobcats,Power Forward,804131
2013-14,2014,2013,Jeff Adrien,Charlotte Bobcats,Power Forward,916099
2014-15,2015,2014,Jeff Adrien,Houston Rockets,Power Forward,981084
2007-08,2008,2007,Arron Afflalo,Detroit Pistons,Shooting Guard and Small Forward,944520
2008-09,2009,2008,Arron Afflalo,Detroit Pistons,Shooting Guard and Small Forward,1015440
2009-10,2010,2009,Arron Afflalo,Denver Nuggets,Shooting Guard and Small Forward,1086240
2010-11,2011,2010,Arron Afflalo,Denver Nuggets,Shooting Guard and Small Forward,1959577
2011-12,2012,2011,Arron Afflalo,Denver Nuggets,Shooting Guard and Small Forward,7562500
2012-13,2013,2012,Arron Afflalo,Orlando Magic,Shooting Guard and Small Forward,7750000
2013-14,2014,2013,Arron Afflalo,Orlando Magic,Shooting Guard and Small Forward,7312500
2014-15,2015,2014,Arron Afflalo,Portland Trail Blazers,Shooting Guard and Small Forward,7750000
2015-16,2016,2015,Arron Afflalo,New York Knicks,Shooting Guard and Small Forward,8000000
2016-17,2017,2016,Arron Afflalo,Sacramento Kings,Shooting Guard and Small Forward,12500000
2017-18,2018,2017,Arron Afflalo,Sacramento Kings,Shooting Guard and Small Forward,1500000
2017-18,2018,2017,Arron Afflalo,Orlando Magic,Shooting Guard and Small Forward,1471382
2006-07,2007,2006,Maurice Ager,Dallas Mavericks,Shooting Guard,906480
2007-08,2008,2007,Maurice Ager,New Jersey Nets,Shooting Guard,974400
2008-09,2009,2008,Maurice Ager,New Jersey Nets,Shooting Guard,1042440
2010-11,2011,2010,Maurice Ager,Minnesota Timberwolves,Shooting Guard,83305
1984-85,1985,1984,Mark Aguirre,Dallas Mavericks,Small Forward,800000
1985-86,1986,1985,Mark Aguirre,Dallas Mavericks,Small Forward,626240
1987-88,1988,1987,Mark Aguirre,Dallas Mavericks,Small Forward,715700
1988-89,1989,1988,Mark Aguirre,Dallas Mavericks,Small Forward,715700
1990-91,1991,1990,Mark Aguirre,Detroit Pistons,Small Forward,1115000
1991-92,1992,1991,Mark Aguirre,Detroit Pistons,Small Forward,1232000
1992-93,1993,1992,Mark Aguirre,Detroit Pistons,Small Forward,1351000
1993-94,1994,1993,Mark Aguirre,Detroit Pistons,Small Forward,1471000
1993-94,1994,1993,Mark Aguirre,Los Angeles Clippers,Small Forward,150000
2008-09,2009,2008,Blake Ahearn,San Antonio Spurs,Point Guard,125562
1984-85,1985,1984,Danny Ainge,Boston Celtics,Shooting Guard and Point Guard,400000
1985-86,1986,1985,Danny Ainge,Boston Celtics,Shooting Guard and Point Guard,550000
1987-88,1988,1987,Danny Ainge,Boston Celtics,Shooting Guard and Point Guard,625000
1988-89,1989,1988,Danny Ainge,Boston Celtics,Shooting Guard and Point Guard,675000
1990-91,1991,1990,Danny Ainge,Portland Trail Blazers,Shooting Guard and Point Guard,725000
1991-92,1992,1991,Danny Ainge,Portland Trail Blazers,Shooting Guard and Point Guard,725000
1992-93,1993,1992,Danny Ainge,Phoenix Suns,Shooting Guard and Point Guard,1330000
1993-94,1994,1993,Danny Ainge,Phoenix Suns,Shooting Guard and Point Guard,1690000
1994-95,1995,1994,Danny Ainge,Phoenix Suns,Shooting Guard and Point Guard,2080000
2008-09,2009,2008,Alexis Ajinca,Charlotte Bobcats,Power Forward and Center,1276320
2009-10,2010,2009,Alexis Ajinca,Charlotte Bobcats,Power Forward and Center,1372080
2010-11,2011,2010,Alexis Ajinca,Toronto Raptors,Power Forward and Center,1467840
2014-15,2015,2014,Alexis Ajinca,New Orleans Pelicans,Power Forward and Center,981084
2015-16,2016,2015,Alexis Ajinca,New Orleans Pelicans,Power Forward and Center,4300000
2016-17,2017,2016,Alexis Ajinca,New Orleans Pelicans,Power Forward and Center,4600000
2017-18,2018,2017,Alexis Ajinca,New Orleans Pelicans,Power Forward and Center,4961798
2013-14,2014,2013,Josh Akognon,Memphis Grizzlies,Point Guard,788872
2010-11,2011,2010,Solomon Alabi,Toronto Raptors,Center,770000
2011-12,2012,2011,Solomon Alabi,Toronto Raptors,Center,830000
1987-88,1988,1987,Mark Alarie,Washington Bullets,Power Forward,232500
1988-89,1989,1988,Mark Alarie,Washington Bullets,Power Forward,250000
