"team","seasonyear","sg_totalassistslast3years","sg_totalstealslast3years","sg_totalblockslast3years","sg_totalturnoverslast3years","sg_personalfoulslast3years","sg_totalpointslast3years","pf_totalassistslast3years","pf_totalstealslast3years","pf_totalblockslast3years","pf_totalturnoverslast3years","pf_personalfoulslast3years","pf_totalpointslast3years","sf_totalassistslast3years","sf_totalstealslast3years","sf_totalblockslast3years","sf_totalturnoverslast3years","sf_personalfoulslast3years","sf_totalpointslast3years","c_totalassistslast3years","c_totalstealslast3years","c_totalblockslast3years","c_totalturnoverslast3years","c_personalfoulslast3years","c_totalpointslast3years","pg_totalassistslast3years","pg_totalstealslast3years","pg_totalblockslast3years","pg_totalturnoverslast3years","pg_personalfoulslast3years","pg_totalpointslast3years"
"ATL",2003,"65.7333333333333333","27.4333333333333333","11.5000000000000000","49.9000000000000000","83.0333333333333333","238.7000000000000000","65.25000000000000000000","25.25000000000000000000","19.41666666666666665000","64.66666666666666667500","71.83333333333333332500","445.50000000000000002500","86.11111111111111110000","41.1111111111111111","19.88888888888888890000","86.1111111111111111","96.4444444444444444","604.2222222222222222","23.5000000000000000","22.3000000000000000","49.3666666666666667","53.2666666666666667","103.8666666666666667","307.0333333333333333","217.6111111111111111","56.2222222222222222","5.8333333333333333","104.5000000000000000","98.6111111111111111","628.5000000000000000"
"ATL",2004,"150.1666666666666667","57.1666666666666667","26.5000000000000000","110.6666666666666667","155.1666666666666667","479.1666666666666667","47.38095238095238095714","20.85714285714285714286","14.38095238095238094286","51.3333333333333333","72.9047619047619048","364.7142857142857143","72.5555555555555556","43.5555555555555556","12.0000000000000000","71.1111111111111111","106.8888888888888889","472.8888888888888889","20.2777777777777778","18.5555555555555556","55.7777777777777778","42.1111111111111111","101.9444444444444444","234.8333333333333334","271.2777777777777778","68.1666666666666667","5.77777777777777776667","118.9444444444444445","129.5555555555555555","662.0000000000000000"
"ATL",2005,"112.0416666666666667","48.4166666666666667","18.5416666666666667","71.0416666666666667","122.1666666666666667","442.0000000000000000","98.58333333333333335000","30.75000000000000000000","18.16666666666666665000","71.99999999999999997500","82.0000000000000000","400.7500000000000000","140.8333333333333334","68.8333333333333334","83.8333333333333334","155.8333333333333334","208.3333333333333334","892.1666666666666667","22.0000000000000000","19.0666666666666666","16.7333333333333333","42.1333333333333333","96.1333333333333333","274.9333333333333333","181.8888888888888889","41.6666666666666667","4.1111111111111111","72.6666666666666667","132.2222222222222222","414.4444444444444444"
"ATL",2006,"126.0833333333333333","35.2916666666666667","8.12500000000000000000","77.5416666666666667","86.0000000000000000","549.2083333333333333","87.4444444444444444","48.7777777777777778","17.4444444444444444","102.7777777777777778","201.5555555555555556","659.5555555555555556","150.0000000000000000","70.7500000000000000","106.5000000000000000","126.0000000000000000","196.2500000000000000","791.5000000000000000","26.9444444444444444","21.1111111111111111","15.1111111111111111","39.2222222222222222","91.0555555555555556","211.1666666666666667","176.9166666666666667","35.7500000000000000","4.8333333333333334","70.9166666666666667","149.4166666666666667","477.6666666666666667"
"ATL",2007,"114.40000000000000000000","36.66666666666666668000","12.63333333333333334000","74.23333333333333334000","91.0666666666666667","562.3333333333333333","33.2000000000000000","26.0000000000000000","23.0000000000000000","51.4000000000000000","124.1000000000000000","303.1000000000000000","62.05555555555555556667","25.72222222222222223333","62.27777777777777776667","59.05555555555555556667","75.1111111111111111","320.7222222222222222","54.0000000000000000","39.6666666666666667","28.4444444444444444","70.6666666666666667","161.7777777777777778","427.8888888888888889","200.0000000000000000","51.0000000000000000","4.33333333333333333333","80.5555555555555555","135.8888888888888889","491.5555555555555555"
"ATL",2008,"144.55555555555555556667","32.1111111111111111","8.00000000000000000000","78.1666666666666667","75.0555555555555556","567.6111111111111111","90.0000000000000000","46.6666666666666667","89.1666666666666667","98.2777777777777778","162.3888888888888889","539.8333333333333333","77.66666666666666666667","44.6666666666666667","22.77777777777777776667","69.6111111111111111","121.8333333333333333","569.3888888888888889","81.6666666666666667","50.3333333333333333","43.6666666666666667","103.5555555555555556","214.4444444444444444","579.2222222222222222","189.6000000000000000","38.3333333333333333","4.53333333333333332000","86.8666666666666667","100.6666666666666667","578.8000000000000000"
"ATL",2009,"143.2916666666666667","37.8333333333333333","7.95833333333333332500","78.2916666666666667","77.8333333333333333","579.0416666666666667","113.33333333333333335000","54.0000000000000000","93.3333333333333334","106.5000000000000000","121.1666666666666667","618.5000000000000000","91.3333333333333334","54.0000000000000000","22.6666666666666667","77.3333333333333334","162.3333333333333334","790.8333333333333333","55.0416666666666667","27.8750000000000000","34.7083333333333333","63.5833333333333333","136.9583333333333333","379.9166666666666667","183.3888888888888889","45.3333333333333333","3.5000000000000000","76.0000000000000000","83.6666666666666667","464.5000000000000000"
"ATL",2010,"251.4444444444444445","54.1111111111111111","10.2222222222222222","118.7777777777777778","108.6666666666666667","1063.1111111111111111","101.8888888888888889","46.1111111111111111","69.1111111111111111","83.3333333333333333","132.4444444444444444","579.7777777777777778","55.05555555555555556667","37.44444444444444443333","18.2222222222222222","42.1666666666666667","107.3333333333333333","510.0555555555555556","72.3333333333333333","33.6666666666666667","41.3333333333333333","71.6666666666666667","167.1111111111111111","454.5555555555555556","226.3333333333333334","53.5000000000000000","8.5000000000000000","81.1666666666666667","107.5000000000000000","542.8333333333333334"
"ATL",2011,"321.5000000000000000","64.6666666666666667","11.6666666666666667","152.6666666666666667","128.8333333333333334","1400.1666666666666667","141.6666666666666667","57.6666666666666667","71.8333333333333333","115.5000000000000000","148.0000000000000000","709.8333333333333333","52.3333333333333333","32.74999999999999997500","15.83333333333333335000","36.9166666666666667","90.16666666666666665000","391.5833333333333333","68.4166666666666667","25.5000000000000000","33.9166666666666667","53.8333333333333334","121.8333333333333334","384.8333333333333333","226.1666666666666667","55.5833333333333334","12.8333333333333334","81.6666666666666667","120.5000000000000000","579.5833333333333334"
"ATL",2012,"217.2222222222222222","51.7777777777777778","11.8888888888888889","96.2222222222222222","132.4444444444444444","848.0000000000000000","158.3333333333333334","75.1666666666666667","76.8333333333333334","127.6666666666666667","162.8333333333333334","808.3333333333333334","81.5000000000000000","30.7500000000000000","19.1666666666666667","49.0833333333333333","75.9166666666666667","374.5833333333333333","62.5833333333333334","25.0000000000000000","34.0833333333333334","50.1666666666666667","114.7500000000000000","350.6666666666666667","143.0833333333333334","43.0833333333333334","13.1666666666666667","66.0833333333333334","84.5000000000000000","393.1666666666666667"
"ATL",2013,"133.6944444444444445","32.7500000000000000","7.94444444444444445000","62.5000000000000000","76.8055555555555556","504.2500000000000000","109.5555555555555556","49.6111111111111111","47.2222222222222222","95.5555555555555556","114.5000000000000000","622.3333333333333333","86.3333333333333333","33.6666666666666667","21.8333333333333334","50.5000000000000000","122.1666666666666667","485.8333333333333333","94.5555555555555556","37.3333333333333333","33.4444444444444444","67.7777777777777778","134.3333333333333333","482.6666666666666667","222.7500000000000000","55.4166666666666667","15.50000000000000000000","91.8333333333333334","90.2500000000000000","486.2500000000000000"
